sn  hostname    ip  batch   idc status
6CU33021RN  xen-b0b1616-27-b.zue    10.228.188.172  zue-1128台B2    ZUE 

6CU33021RP  xen-b0b1617-27-b.zue    10.228.188.173  zue-1128台B2    ZUE 

6CU33021RQ  xen-b0b1618-27-b.zue    10.228.188.174  zue-1128台B2    ZUE 

6CU33021RR  xen-b0b1619-27-b.zue    10.228.188.175  zue-1128台B2    ZUE 

6CU33021RS  xen-b0b1620-27-b.zue    10.228.188.176  zue-1128台B2    ZUE 

6CU33021RT  xen-b0b1701-28-b.zue    10.228.188.177  zue-1128台B2    ZUE 

6CU33021RV  xen-b0b1702-28-b.zue    10.228.188.178  zue-1128台B2    ZUE 

6CU33021RW  xen-b0b1703-28-b.zue    10.228.188.179  zue-1128台B2    ZUE 

6CU33021RX  xen-b0b1704-28-b.zue    10.228.188.180  zue-1128台B2    ZUE 

6CU33021RY  xen-b0b1705-28-b.zue    10.228.188.181  zue-1128台B2    ZUE 

6CU33021RZ  xen-b0b1706-28-b.zue    10.228.188.182  zue-1128台B2    ZUE 

6CU33021S0  xen-b0b1707-28-b.zue    10.228.188.183  zue-1128台B2    ZUE 

6CU33021S1  xen-b0b1708-28-b.zue    10.228.188.184  zue-1128台B2    ZUE 

6CU33021S2  xen-b0b1709-28-b.zue    10.228.188.185  zue-1128台B2    ZUE 

6CU33021S3  xen-b0b1710-28-b.zue    10.228.188.186  zue-1128台B2    ZUE 

6CU33021S4  xen-b0b1711-28-b.zue    10.228.188.187  zue-1128台B2    ZUE 

6CU33021S5  xen-b0b1712-28-b.zue    10.228.188.188  zue-1128台B2    ZUE 

6CU33021S6  xen-b0b1713-28-b.zue    10.228.188.189  zue-1128台B2    ZUE 

6CU33021S7  xen-b0b1714-28-b.zue    10.228.188.190  zue-1128台B2    ZUE 

6CU33021S8  xen-b0b1715-28-b.zue    10.228.188.191  zue-1128台B2    ZUE 

6CU33021S9  xen-b0b1716-28-b.zue    10.228.188.192  zue-1128台B2    ZUE 

6CU33021SB  xen-b0b1717-28-b.zue    10.228.188.193  zue-1128台B2    ZUE 

6CU33021SC  xen-b0b1718-28-b.zue    10.228.188.194  zue-1128台B2    ZUE 

6CU33021SD  xen-b0b1719-28-b.zue    10.228.188.195  zue-1128台B2    ZUE 

6CU33021SF  xen-b0b1720-28-b.zue    10.228.188.196  zue-1128台B2    ZUE 

6CU33021SG  xen-b0b1801-28-b.zue    10.228.188.197  zue-1128台B2    ZUE 

6CU33021SH  xen-b0b1802-28-b.zue    10.228.188.198  zue-1128台B2    ZUE 

6CU33021SJ  xen-b0b1803-28-b.zue    10.228.188.199  zue-1128台B2    ZUE 

6CU33021SK  xen-b0b1804-28-b.zue    10.228.188.200  zue-1128台B2    ZUE 

6CU33021SL  xen-b0b1805-28-b.zue    10.228.189.11   zue-1128台B2    ZUE 

6CU33021SM  xen-b0b1806-28-b.zue    10.228.189.12   zue-1128台B2    ZUE 

6CU33021SN  xen-b0b1807-28-b.zue    10.228.189.13   zue-1128台B2    ZUE 

6CU33021SP  xen-b0b1808-28-b.zue    10.228.189.14   zue-1128台B2    ZUE 

6CU33021SQ  xen-b0b1809-28-b.zue    10.228.189.15   zue-1128台B2    ZUE 

6CU33021SR  xen-b0b1810-28-b.zue    10.228.189.16   zue-1128台B2    ZUE 

6CU33021SS  xen-b0b1811-28-b.zue    10.228.189.17   zue-1128台B2    ZUE 

6CU33021ST  xen-b0b1812-28-b.zue    10.228.189.18   zue-1128台B2    ZUE 

6CU33021SV  xen-b0b1813-28-b.zue    10.228.189.19   zue-1128台B2    ZUE 

6CU33021SW  xen-b0b1814-28-b.zue    10.228.189.20   zue-1128台B2    ZUE 

6CU33021SX  xen-b0b1815-28-b.zue    10.228.189.21   zue-1128台B2    ZUE 

6CU33021SY  xen-b0b1816-28-b.zue    10.228.189.22   zue-1128台B2    ZUE 

6CU33021SZ  xen-b0b1817-28-b.zue    10.228.189.23   zue-1128台B2    ZUE 

6CU33021T0  xen-b0b1818-28-b.zue    10.228.189.24   zue-1128台B2    ZUE 

6CU33021T1  xen-b0b1819-28-b.zue    10.228.189.25   zue-1128台B2    ZUE 

6CU33021T2  xen-b0b1820-28-b.zue    10.228.189.26   zue-1128台B2    ZUE 

6CU33021T3  xen-b0b1901-29-b.zue    10.228.189.27   zue-1128台B2    ZUE 

6CU33021T4  xen-b0b1902-29-b.zue    10.228.189.28   zue-1128台B2    ZUE 

6CU33021T5  xen-b0b1903-29-b.zue    10.228.189.29   zue-1128台B2    ZUE 

6CU33021T6  xen-b0b1904-29-b.zue    10.228.189.30   zue-1128台B2    ZUE 

6CU33021T7  xen-b0b1905-29-b.zue    10.228.189.31   zue-1128台B2    ZUE 

6CU33021T8  xen-b0b1906-29-b.zue    10.228.189.32   zue-1128台B2    ZUE 

6CU33021T9  xen-b0b1907-29-b.zue    10.228.189.33   zue-1128台B2    ZUE 

6CU33021TB  xen-b0b1908-29-b.zue    10.228.189.34   zue-1128台B2    ZUE 

6CU33021TC  xen-b0b1909-29-b.zue    10.228.189.35   zue-1128台B2    ZUE 

6CU33021TD  xen-b0b1910-29-b.zue    10.228.189.36   zue-1128台B2    ZUE 

6CU33021TF  xen-b0b1911-29-b.zue    10.228.189.37   zue-1128台B2    ZUE 

6CU33021TG  xen-b0b1912-29-b.zue    10.228.189.38   zue-1128台B2    ZUE 

6CU33021TH  xen-b0b1913-29-b.zue    10.228.189.39   zue-1128台B2    ZUE 

6CU33021TJ  xen-b0b1914-29-b.zue    10.228.189.40   zue-1128台B2    ZUE 

6CU33021TK  xen-b0b1915-29-b.zue    10.228.189.41   zue-1128台B2    ZUE 

6CU33021TL  xen-b0b1916-29-b.zue    10.228.189.42   zue-1128台B2    ZUE 

6CU33021TM  xen-b0b1917-29-b.zue    10.228.189.43   zue-1128台B2    ZUE 

6CU33021TN  xen-b0b1918-29-b.zue    10.228.189.44   zue-1128台B2    ZUE 

6CU33021TP  xen-b0b1919-29-b.zue    10.228.189.45   zue-1128台B2    ZUE 

6CU33021TQ  xen-b0b1920-29-b.zue    10.228.189.46   zue-1128台B2    ZUE 

6CU3302008  xen-a0y2105-239-b.zue   10.214.176.59   zue-1128台B2    ZUE 

6CU3302009  xen-a0y2106-239-b.zue   10.214.176.60   zue-1128台B2    ZUE 

6CU330200B  xen-a0y2107-239-b.zue   10.214.176.61   zue-1128台B2    ZUE 

6CU330200C  xen-a0y2108-239-b.zue   10.214.176.62   zue-1128台B2    ZUE 

6CU330200D  xen-a0y2109-239-b.zue   10.214.176.63   zue-1128台B2    ZUE 

6CU330200F  xen-a0y2110-239-b.zue   10.214.176.64   zue-1128台B2    ZUE 

6CU330200G  xen-a0y2111-239-b.zue   10.214.176.65   zue-1128台B2    ZUE 

6CU330200H  xen-a0y2112-239-b.zue   10.214.176.66   zue-1128台B2    ZUE 

6CU330200J  xen-a0y2113-239-b.zue   10.214.176.67   zue-1128台B2    ZUE 

6CU330200K  xen-a0y2114-239-b.zue   10.214.176.68   zue-1128台B2    ZUE 

6CU330200L  xen-a0y2115-239-b.zue   10.214.176.69   zue-1128台B2    ZUE 

6CU330200M  xen-a0y2116-239-b.zue   10.214.176.70   zue-1128台B2    ZUE 

6CU330200N  xen-a0y2117-239-b.zue   10.214.176.71   zue-1128台B2    ZUE 

6CU330200P  xen-a0y2118-239-b.zue   10.214.176.72   zue-1128台B2    ZUE 

6CU330200Q  xen-a0y2119-239-b.zue   10.214.176.73   zue-1128台B2    ZUE 

6CU330200R  xen-a0y2120-239-b.zue   10.214.176.74   zue-1128台B2    ZUE 

6CU330200S  xen-a0y2201-239-b.zue   10.214.176.75   zue-1128台B2    ZUE 

6CU330200T  xen-a0y2202-239-b.zue   10.214.176.76   zue-1128台B2    ZUE 

6CU330200V  xen-a0y2203-239-b.zue   10.214.176.77   zue-1128台B2    ZUE 

6CU330200W  xen-a0y2204-239-b.zue   10.214.176.78   zue-1128台B2    ZUE 

6CU330200X  xen-a0y2205-239-b.zue   10.214.176.79   zue-1128台B2    ZUE 

